"text","number","abbr"
"Anchor (n)","10.89","MO_AN"
"Port, Harbor","10.90","MO_HP"
"to Have","11.11","PT_HA"
"to Own, Possess","11.12","PT_OP"
"to Take","11.13","PT_TA"
"to Grasp, Seize, Take Hold of","11.14","PT_SG"
"to Hold","11.15","PT_HO"
"to Get, Obtain","11.16","PT_GO"
"to Keep, Retain","11.17","PT_KR"
"to Give","11.21","PT_GI"
"to Return, Give Back","11.22","PT_GB"
"to Restore","11.23","PT_RE"
"to Save, Preserve, Keep Safe","11.24","PT_PR"
"to Save, Rescue","11.25","PT_SR"
"Safe (adj)","11.26","PT_SA"
"to Destroy","11.27","PT_DE"
"to Harm, Injure, Damage","11.28","PT_HI"
"to Spoil","11.29","PT_SP"
"to Seek","11.31","PT_SE"
"to Find","11.32","PT_FI"
"to Lose","11.33","PT_LO"
"to Release","11.34","PT_RS"
"Property","11.41","PT_PY"
"Wealth, Riches","11.42","PT_WR"
"Money","11.43","PT_MO"
"Coin","11.44","PT_CO"
"Purse","11.45","PT_PU"
"Treasure","11.46","PT_TR"
"Bank","11.47","PT_BA"
"Heir","11.48","PT_HE"
"Rich","11.51","PT_RC"
"Poor","11.52","PT_PO"
"Beggar","11.53","PT_BG"
"Stingy, Avaricious","11.54","PT_AS"
"Miser","11.55","PT_MS"
"to Steal","11.56","PT_ST"
"Thief","11.57","PT_TH"
"to Rob; Robber","11.58","PT_RR"
"to Lend","11.61","PT_LD"
"to Borrow","11.62","PT_BW"
"to Owe","11.63","PT_OW"
"Debt","11.64","PT_DB"
"to Pay","11.65","PT_PA"
"Account, Reckoning","11.66","PT_AR"
"Surety, Security","11.67","PT_SC"
"Interest","11.68","PT_IT"
"Tax (n)","11.69","PT_TX"
"Income","11.71","PT_IN"
"Cost, Expense","11.72","PT_EC"
"Gain, Profit","11.73","PT_PF"
"Loss","11.74","PT_LS"
"to Lease, Rent (to another)","11.75","PT_LR"
"to Rent, Lease (from another)","11.76","PT_RL"
"to Hire","11.77","PT_HR"
"Pay, Wages","11.78","PT_WA"
"to Earn","11.79","PT_EA"
