Starling ID,Headwords,Gloss,chosen_abbr,v1_choice,differs_from_v1,enrichment_used,suggestion_1,field_1,score_1,suggestion_2,field_2,score_2,suggestion_3,field_3,score_3
PDR723,*kIḷ-,"to dig up, stir",AV_DI,AV_DI,,yes,AV_DI,"Agriculture & Vegetation — to Dig, Delve",0.520,AV_SH,Agriculture & Vegetation — Shovel (n),0.446,AV_PL,Agriculture & Vegetation — to Plow; Plow,0.441
PDR724,*kin-,cold,SP_CD,TI_WI,YES,yes,SP_CD,"Sense Perception — Cold, Frigid",0.509,SP_HW,"Sense Perception — Hot, Warm",0.415,TI_WI,Time — Winter,0.404
PDR725,*kin-,to be angry,EM_AG,EM_AG,,yes,EM_AG,Emotion — Anger,0.613,EM_RF,"Emotion — Rage, Fury",0.581,EM_DE,Emotion — to Desire,0.519
PDR726,*kind-,to sprinkle,PA_SO,FD_KD,YES,yes,PA_SO,"Physical Acts & Materials — to Strew, Spread Out",0.427,PA_PO,Physical Acts & Materials — to Pour,0.415,PW_RA,Physical World — Rain (n),0.338
PDR727,"*kinḍ-, *kenḍ-",to cut up; to dig in,PA_CU,AV_DI,YES,yes,PA_CU,Physical Acts & Materials — to Cut,0.543,FD_KN,Food & Drink — Knife,0.474,PA_SS,"Physical Acts & Materials — Shears, Scissors",0.408
PDR728,*kipr-,"shell, skull",BP_SK,BP_SK,,yes,BP_SK,Body Parts & Functions — Skull,0.494,BP_HE,Body Parts & Functions — Head,0.377,BP_BN,Body Parts & Functions — Bone,0.373
PDR729,*kir-,ear,BP_EA,BP_EA,,yes,BP_EA,Body Parts & Functions — Ear,0.604,SP_HE,Sense Perception — to Hear,0.442,SP_HG,Sense Perception — Hearing (n),0.425
PDR730,*kir_-,1 small 2 young,TI_YG,TI_YG,,yes,TI_YG,Time — Young,0.373,QN_LF,"Quantity & Number — Few, Little",0.339,TI_AG,Time — Age,0.296
PDR731,*kir_-,"anger, angry; displeased",EM_AG,EM_AG,,yes,EM_AG,Emotion — Anger,0.685,EM_RF,"Emotion — Rage, Fury",0.655,EM_HT,Emotion — Hate (n),0.559
PDR732,*kir_l-,wrist,BP_EL,CA_BR,YES,yes,BP_EL,Body Parts & Functions — Elbow,0.452,BP_TM,Body Parts & Functions — Thumb,0.431,BP_HN,Body Parts & Functions — Hand,0.413
PDR733,*kit-,to tickle,EM_PL,BP_LC,YES,yes,EM_PL,Emotion — to Please,0.421,BP_LC,Body Parts & Functions — to Lick,0.376,EM_GR,Emotion — to Groan,0.368
PDR734,*Kiṭ-,to touch; near,SP_TV,SP_TV,,yes,SP_TV,Sense Perception — to Touch,0.626,SP_TC,Sense Perception — Touch (n),0.534,PA_RU,Physical Acts & Materials — to Rub,0.508
PDR735,*kiẓ[i]-,to pluck,PA_CU,AV_PL,YES,yes,PA_CU,Physical Acts & Materials — to Cut,0.440,PA_TE,Physical Acts & Materials — to Tear,0.409,PA_FS,"Physical Acts & Materials — to Flay, Skin",0.396
PDR736,*kīd_- (*-r_-),to tear; to slash,PA_TE,PA_TE,,yes,PA_TE,Physical Acts & Materials — to Tear,0.561,EM_TR,Emotion — Tear (n),0.531,EM_CW,"Emotion — to Cry, Weep",0.455
PDR737,*kīḷ-,"to rend, split",PA_SP,PA_SP,,yes,PA_SP,Physical Acts & Materials — to Split,0.489,PA_TE,Physical Acts & Materials — to Tear,0.430,PA_BK,Physical Acts & Materials — to Break,0.378
PDR738,*kīp-,comb; to comb,CA_CB,CA_CB,,yes,CA_CB,Clothing & Adornment — Comb,0.517,AV_PL,Agriculture & Vegetation — to Plow; Plow,0.352,CA_BH,Clothing & Adornment — Brush,0.349
PDR739,*kīr-,"herbs, greens",AV_PN,AV_PN,,yes,AV_PN,"Agriculture & Vegetation — Plant, Herb",0.544,FD_VE,Food & Drink — Vegetables,0.510,AV_LE,Agriculture & Vegetation — Leaf,0.435
