Starling ID,Headwords,Gloss,chosen_abbr,suggestion_1,field_1,score_1,suggestion_2,field_2,score_2,suggestion_3,field_3,score_3
PDR1396,*panǯ-,to be replete,TI_FI,TI_FI,Time — to Finish,0.466,TI_LS,Time — to Last,0.387,TI_CE,Time — to Cease,0.352
PDR1397,*paŋ-,to divide; bifurcation,SR_DI,SR_DI,Spatial Relations — to Divide,0.346,TI_TI,Time — Time (period),0.283,SO_SQ,"Social Relations — Strife, Quarrel",0.276
PDR1398,*par-,"to cut, split",PA_CU,PA_CU,Physical Acts & Materials — to Cut,0.459,FD_KN,Food & Drink — Knife,0.417,PA_SP,Physical Acts & Materials — to Split,0.415
PDR1399,*par-,to run,MO_RU,MO_RU,Motion & Transportation — to Run,0.533,TI_FI,Time — to Finish,0.369,TI_HH,"Time — to Hurry, Hasten",0.361
PDR1400,*par-,to shine; dawn,TI_DW,TI_DW,Time — Dawn,0.628,TI_NG,Time — Night,0.439,TI_EV,Time — Evening,0.425
PDR1401,*par-,to love,EM_LO,EM_LO,Emotion — to Love; Love,0.671,EM_DE,Emotion — to Desire,0.515,EM_PL,Emotion — to Please,0.507
PDR1402,*par-,"pimple, boil, sore",FD_BO,FD_BO,Food & Drink — to Boil (trans,0.427,MO_BO,Motion & Transportation — to Boil (intrans,0.309,FD_KE,Food & Drink — Kettle,0.287
PDR1403,*par-,pebble,AN_PI,AN_PI,Animals — Pig,0.400,PW_SR,"Physical World — Rock, Stone",0.392,FD_FI,Food & Drink — Fig,0.384
PDR1404,*par- (*-r_-?),"to seek, grope",PT_SE,PT_SE,Possession & Trade — to Seek,0.517,EM_DE,Emotion — to Desire,0.410,AN_HU,Animals — to Hunt,0.392
PDR1405,*par- (?),"to drink, eat",FD_EA,FD_EA,Food & Drink — to Eat,0.777,FD_DR,Food & Drink — to Drink,0.773,FD_AM,Food & Drink — a Meal,0.676
PDR1406,*par[a]-,"to praise, bless",RB_BL,RB_BL,Religion & Beliefs — to Bless,0.681,EM_PR,Emotion — Praise (n),0.556,EM_JG,"Emotion — Glad, Joyful",0.437
PDR1407,*par-anḍ-,frog,AN_SK,AN_SK,Animals — Snake,0.555,AN_CT,Animals — Cat,0.530,AN_BI,Animals — Bird,0.524
PDR1408,*part-,cotton,CA_CO,CA_CO,Clothing & Adornment — Cotton,0.764,CA_TW,Clothing & Adornment — Towel,0.534,CA_WO,Clothing & Adornment — Wool,0.499
PDR1409,*par(u)nd-,a k. of bird of prey,AN_BI,AN_BI,Animals — Bird,0.660,AN_HN,Animals — Hen,0.486,AN_DU,Animals — Duck,0.476
PDR1410,*parup-,"pulse, dal; peas",FD_PE,FD_PE,Food & Drink — Pea,0.577,FD_BN,Food & Drink — Bean,0.502,FD_SG,Food & Drink — Sausage,0.392
PDR1411,*par_-,to scratch,PA_NA,PA_NA,"Physical Acts & Materials — Nail, Peg",0.375,TI_FI,Time — to Finish,0.367,PA_RU,Physical Acts & Materials — to Rub,0.359
PDR1412,*par_-,garden,AV_GA,AV_GA,"Agriculture & Vegetation — Garden, Orchard",0.606,AV_FL,Agriculture & Vegetation — Flower,0.602,AV_GR,Agriculture & Vegetation — Grass,0.572
PDR1413,*par_-,drum; a measure of capacity,QN_EN,QN_EN,Quantity & Number — Enough,0.426,QN_MM,"Quantity & Number — Much, Many",0.384,QN_WH,Quantity & Number — Whole,0.383
PDR1414,*par_-,to speak,LM_ST,LM_ST,"Language & Music — to Speak, Talk",0.561,LM_SG,Language & Music — to Sing,0.420,LM_SY,Language & Music — to Say,0.420
PDR1415,*paT-,ten,QN_NN,QN_NN,Quantity & Number — Numerals,0.403,QN_EN,Quantity & Number — Enough,0.383,QN_ON,Quantity & Number — One,0.368
PDR1416,*paṬ-,1 to fall 2 to lie down,MO_FA,MO_FA,Motion & Transportation — to Fall,0.386,WH_RT,Warfare & Hunting — Retreat (n),0.306,EM_LI,"Emotion — Lie, Falsehood",0.306
PDR1417,*paT-,to hide,BP_SH,BP_SH,"Body Parts & Functions — Skin, Hide",0.458,SR_HC,"Spatial Relations — to Hide, Conceal",0.444,AN_HU,Animals — to Hunt,0.323
PDR1418,*pat_-,"to catch, hold",PT_HO,PT_HO,Possession & Trade — to Hold,0.446,PT_KR,"Possession & Trade — to Keep, Retain",0.398,PT_SG,"Possession & Trade — to Grasp, Seize, Take Hold of",0.396
PDR1419,*paṭ-,1 flat 2 place,SR_FL,SR_FL,Spatial Relations — Flat,0.465,SR_PU,"Spatial Relations — to Put, Place, Set, Lay",0.347,SR_RO,Spatial Relations — Round (adj),0.342
PDR1420,*paṭ-,1 beam 2 timber,PW_WD,PW_WD,"Physical World — Wood, Timber",0.571,PA_BE,Physical Acts & Materials — Beam,0.384,PW_WF,"Physical World — Woods, Forest",0.376
PDR1421,*paṭ-,dwelling; yard,DF_YR,DF_YR,"Dwellings & Furniture — Yard, Court",0.689,DF_DW,"Dwellings & Furniture — to Live, Dwell",0.599,DF_HS,Dwellings & Furniture — House,0.549
PDR1422,*paṭ-,palm; instep,CA_GL,CA_GL,Clothing & Adornment — Glove,0.379,CA_SO,Clothing & Adornment — Shoe,0.324,BP_FI,Body Parts & Functions — Finger,0.322
PDR1423,*paṭ-ai,stripe,LM_IN,LM_IN,Language & Music — Ink,0.319,LM_LI,Language & Music — Line (n),0.311,CA_LA,Clothing & Adornment — Lace,0.301
PDR1424,*paṭ-ai,bark (of tree),PW_TR,PW_TR,"Physical World — Tree, Oak",0.564,AV_TR,Agriculture & Vegetation — Tree (generic),0.550,PW_WD,"Physical World — Wood, Timber",0.454
PDR1425,*paẓ-,"to scold, blame",EM_BL,EM_BL,Emotion — Blame (n),0.504,EM_FA,"Emotion — Fault, Guilt",0.451,EM_FG,Emotion — to Forgive,0.353
PDR1426,*paẓa-,old,TI_OL,TI_OL,Time — Old,0.622,TI_AG,Time — Age,0.560,TI_YG,Time — Young,0.481
PDR1427,*paẓ-[k-],rib; side,BP_RI,BP_RI,Body Parts & Functions — Rib,0.669,BP_FC,Body Parts & Functions — Front of Chest,0.436,BP_NV,Body Parts & Functions — Navel,0.419
PDR1428,"*paẓ-, *paẓ-nd-",to ripen,FD_FR,FD_FR,Food & Drink — Fruit,0.386,FD_PR,Food & Drink — Pear,0.360,AV_TH,Agriculture & Vegetation — to Thresh,0.340
PDR1429,*pāḍ-,to sing,LM_SG,LM_SG,Language & Music — to Sing,0.707,LM_ST,"Language & Music — to Speak, Talk",0.477,LM_WE,Language & Music — to Write,0.440
PDR1430,*pāḍ-,village,SO_CI,SO_CI,"Social Relations — Town, City",0.493,SO_TC,"Social Relations — Tribe, Clan, Family",0.451,DF_HU,Dwellings & Furniture — Hut,0.424
PDR1431,*pād- (?),root,AV_RO,AV_RO,Agriculture & Vegetation — Root,0.519,AV_BN,Agriculture & Vegetation — Branch,0.337,MK_SM,Mankind — Stepmother,0.273
PDR1432,*pād_-,to fly,MO_FY,MO_FY,Motion & Transportation — to Fly,0.651,AN_FL,Animals — Fly (n),0.528,BP_WI,Body Parts & Functions — Wing,0.429
PDR1433,*pāɣ-,to strike,PA_SH,PA_SH,"Physical Acts & Materials — to Hit, Strike, Beat",0.432,BP_BI,Body Parts & Functions — to Bite,0.336,WH_FI,Warfare & Hunting — to Fight,0.328
PDR1434,*pāj-,"to separate, part; to comb",CA_CB,CA_CB,Clothing & Adornment — Comb,0.564,PA_SP,Physical Acts & Materials — to Split,0.361,BP_BB,Body Parts & Functions — to Breathe; Breath,0.344
PDR1435,*pāj-,to jump,MO_JL,MO_JL,"Motion & Transportation — to Jump, Leap",0.650,MO_FY,Motion & Transportation — to Fly,0.410,MO_TH,Motion & Transportation — to Throw,0.382
PDR1436,*pāl,milk,FD_MS,FD_MS,Food & Drink — Milk,0.788,FD_MV,Food & Drink — to Milk,0.747,FD_CU,Food & Drink — Cup,0.490
PDR1437,*pāl-,portion,QN_HA,QN_HA,Quantity & Number — Half,0.514,QN_PR,Quantity & Number — Part (n),0.491,QN_WH,Quantity & Number — Whole,0.479
PDR1438,*pāl-,a k. of tree or its flower,AV_TR,AV_TR,Agriculture & Vegetation — Tree (generic),0.554,AV_FL,Agriculture & Vegetation — Flower,0.510,AV_LE,Agriculture & Vegetation — Leaf,0.504
PDR1439,*pāḷ-,"husk, bark",AN_PU,AN_PU,Animals — Puppy,0.383,AN_DO,Animals — Dog,0.382,CA_CR,Clothing & Adornment — Collar,0.361
PDR1440,*pā̆ḷ-,seedling,AV_SS,AV_SS,Agriculture & Vegetation — to Sow; Seed,0.572,FD_GR,Food & Drink — to Grind,0.384,AV_SH,Agriculture & Vegetation — Shovel (n),0.369
PDR1441,*pām-,snake,AN_SK,AN_SK,Animals — Snake,0.842,AN_AN,Animals — Animal,0.473,AN_CT,Animals — Cat,0.458
PDR1442,*pāṇ-,to sing,LM_SG,LM_SG,Language & Music — to Sing,0.707,LM_ST,"Language & Music — to Speak, Talk",0.477,LM_WE,Language & Music — to Write,0.440
PDR1443,*pār-,to grow; to swell,AV_SS,AV_SS,Agriculture & Vegetation — to Sow; Seed,0.341,AV_CT,"Agriculture & Vegetation — to Tilt, Cultivate",0.331,SR_GW,Spatial Relations — to Grow,0.290
