Word,Meaning,Derivates,Etymology,Additional Forms,Additional forms,Dialectal forms,Dialectal forms (1),Dialectal forms (2),Dialectal forms (3),Dialectal forms (4),Miscellaneous,Notes,Notes on correspondences,Number in CVOTGD,Number in DED,Stems,_depth,_error,_page,_record_num,_url
"putgi ""sand-fly""","midge, fly",,Dravidian etymology,,,,,,,,,,,,4203,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=712&root=config
"peli ""woman""",female,,Dravidian etymology,,Also KURpellmaidservant; MLTpelofemale (of plants).,,,,,,,,,,4198,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=655&root=config
"peni ""mother's elder sister""",aunt,,Dravidian etymology,,,,,,,,,,,,4209,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=657&root=config
pice,tail of a peacock,,Dravidian etymology,,,,,,,,,Also MLTpicalepeacock in full plume,,,4226,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=663&root=config
pirce,to be smashed,,Dravidian etymology,,,,,,,,,,,,4176,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=669&root=config
pīku,"excrements, earwax",,Dravidian etymology,,,,,,,,,,,,4210,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=671&root=config
pīte,to break wind,,Dravidian etymology,,,,,,,,,,,,4167,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=674&root=config
"porg̣e ""to be soaked""","to swell, be soaked",,Dravidian etymology,,"Also KURborsnāto get moist, become wet;bothnāto plunge or soak into water; MLTporg̣treto soak;porg̣pedamp or moist ground. KUR forms may not belong here because of initial b-; as for Brahui root, correspondences are surely irregular.",,,,,,,,,,4505,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=688&root=config
pog̣ole,"renown, praise",,Dravidian etymology,,,,,,,,,"Also MLTpog̣olareto be praised;pog̣olatreto praise, extol",,,4235,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=978&root=config
pog̣e,green pigeon,,Dravidian etymology,,,,,,,,,,,,4454,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=685&root=config
"poye (pos-) ""to rain""",to fall; rain,,Dravidian etymology,,Also KURpuỹdnāto pour some water on rice when ready for a meal; MLTputhyeto pour.,,,,,,,Why notpoʔonāin Kurukh?,,,4407,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=683&root=config
"poka ""blister, blain""",blister,,Dravidian etymology,,"Also MLTpog̣lo, inmug-pog̣lowart.",,,,,,,,,,4455,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=675&root=config
