Word,Meaning,Derivates,Etymology,Additional Forms,Additional forms,Dialectal forms,Dialectal forms (1),Dialectal forms (2),Dialectal forms (3),Dialectal forms (4),Miscellaneous,Notes,Notes on correspondences,Number in CVOTGD,Number in DED,Stems,_depth,_error,_page,_record_num,_url
"ek- ""to climb, (sun) rises""",to climb,,Gondwan etymology,,,,,,,,,,,327,766,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=204&root=config
"lēŋg(u) ""voice""",voice; noise,,Gondwan etymology,,,,,,,,,,,3127,835,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=619&root=config
elu pete,white ant,,Gondwan etymology,,,,,,,,,External data makes us regard-umhere as part of the root.,,368,837,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=209&root=config
ed,heat of the sun,,Gondwan etymology,,"Also Gondi_A (SR)yaddihot, sunlight",,,,,,,,,342,869,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=199&root=config
erk-,"to cut down (grass, bushes)",,Gondwan etymology,,Also Gondi_Koerkem(pl.erke) billhook,,,,,,,,,349,824,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=216&root=config
rasi ney,wild dog,,Gondwan etymology,,,,,,,,,,,3010,817,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1048&root=config
"eṛe puṛuk ""earthworms""",earthworm,,Gondwan etymology,,,,,,,,,,,345,822,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=214&root=config
"reka ""wing""","wing, feather",,Gondwan etymology,,,,,,,,,,,3045,2591,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1056&root=config
"ett- ""to take or carry (child) in arms, lap""",to take or carry (child),,Gondwan etymology,,Also Gondi_Ph caus.accahtānā; Gondi_Settuhigh,,,,,,,,,"338, 339",796,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=223&root=config
"ēn- ""(Su.) to receive, hold both the palms together in the shape of receptacle""",to receive,,,,Other Gondi dialects haveēt-as well.,,,,,,,"The formēt-goes back to*ēn-t-; however, Gondi_Lerpānāis probably not related.",,"380, 351",905,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=229&root=config
gaḍḍu,grass,,Gondwan etymology,,,,,,,,,,,1029,1158,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=237&root=config
"gaḍḍok ""(pl.) beard, chin""",whiskers; beard,,Gondwan etymology,,,,,,,,,"Forms in Gondi_W and Gondi_Ph are probably re-borrowed from some Indo-Arian dialect. The final-min Gondi_S is archaic, as shown by external data.",,"479, 1030",1156,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=236&root=config
"gana, gana-kay",wrist,,Gondwan etymology,,,,,,,,,,,1039,1160,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=244&root=config
gaṭṭi,very,,Gondwan etymology,,,,,,,,,,,1022,1148,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=249&root=config
gāl,wind,,Gondwan etymology,,,,,,,,,,,1074,1499,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=253&root=config
