Word,Meaning,Derivates,Etymology,Additional Forms,Additional forms,Dialectal forms,Dialectal forms (1),Dialectal forms (2),Dialectal forms (3),Dialectal forms (4),Miscellaneous,Notes,Notes on correspondences,Number in CVOTGD,Number in DED,Stems,_depth,_error,_page,_record_num,_url
muŋsi,mongoose,,Gondwan etymology,,,,,,,,,,,2870,4900,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=789&root=config
"muṛuŋ- ""to sink, be drowned""","to sink, immerse",,Gondwan etymology,,"Also Gondi_Trmuṛhuttānāto plunge (tr.); Gondi_Wmuriānā(sun) to set; Gondi_Ph caus.murīsahtānā,murahtānā; Gondi_Mmuṛndānāto sink, be drowned; Gondi_Ko (Su.)mu-to immerse (tr.); Gondi_A (Su.)muḍḍūŋ-to be immersed;muḍḍūs-to immerse",,,,,,,,,2924,4993,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=775&root=config
mūvur,three (masc.),,Gondwan etymology,,,,,,,,,,,2941,5052,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=800&root=config
"mūṛam ""mist""","misty, cold",,Gondwan etymology,,,,,,,,,,,2943,5033,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=794&root=config
naḍum,middle,,Gondwan etymology,,"Also Gondi_Munaḍum narkamidnight; Gondi_Konaḍ narkamidnight; Gondi_Mnaṛimursūlwaist;mursulnaṛīloins; Gondi_A (Su.)naṭpēmiddle (adj.);naḍḍīwaist;naḍḍūmcentre, middle",,,,,,,,,1919,3584,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=802&root=config
naral (pl. -ku),"vein, nerve",,Gondwan etymology,,,,,,,,,,,1928,2903,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=806&root=config
nāk-,to lick,,Gondwan etymology,,,,,,,,,,,1952,3570,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=813&root=config
"nālgur ""four (men)""",four,,Gondwan etymology,,"Also Gondi_Trnālkfour each; Gondi_Y, Gondi_Mu, Gondi_Ma, Gondi_Snāluŋ, Gondi_A (SR)nālung, Gondi_W, Gondi_Lnālūng, Gondi_Chdnalung, Gondi_Mndlālũfour (non-masc.)",,,,,,,,,1972,3655,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=814&root=config
nānd-,to be or get wet,,Gondwan etymology,,"Also caus. Gondi_Tr, Gondi_W, Gondi_Phnāhtānā, Gondi_Trnāndstānā, Gondi_A (SR)nāhānāto wet, soak; Gondi_Y, Gondi_G, Gondi_Mu, Gondi_Ma (S), Gondi_Snāh-, Gondi_MAnāʔ-, Gondi_Konā/h/-to make wet",,,,,,,,,1960,3630,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=816&root=config
nōnḍe,rope,,Gondwan etymology,,"Also Gondi_Snōṭ-to twine (rope); Gondi_A (Su.)nōṛerope, bowstring;nōṭ-to entwine",,,,,,,,,2064,2908,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=860&root=config
nār ēpa,anjan tree (from which rope is prepared),,Gondwan etymology,,,,,,,,,,,1965,3651,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=818&root=config
"nīy(y)u ""oil""","oil, ghee",,Gondwan etymology,,Also Gondi_Trpāl nīghee;phukī nīhoney,,,,,,,,,2001,3746,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=831&root=config
nettur,blood,,Gondwan etymology,,Also Gondi_Chnattur raŋred; Gondi_Munatralblackish red; Gondi_Hislopnetralred,,,,,,,,,2027,3748,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=830&root=config
"nēŋ- ""to enter, pierce""",to enter,,Gondwan etymology,,"Also Gondi_A (SR)nēngusānāto thrusst, pierce; Gondi_Phnecahtānāto make to enter;nehtānāto shut in (cattle); Gondi_Munēh-to push in, thrust in",,,,,,,,,2043,3764,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=842&root=config
"eṛvunj, eṛvonj",spittle,,Gondwan etymology,,,,,,,,,,,364,3756,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=225&root=config
"nēr ""rice-seedling""",seedling; to grow,,Gondwan etymology,,,,,,,,,,,2054,2919,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=616&root=config
