Word,Meaning,Derivates,Etymology,Additional Forms,Additional forms,Dialectal forms,Dialectal forms (1),Dialectal forms (2),Dialectal forms (3),Dialectal forms (4),Miscellaneous,Notes,Notes on correspondences,Number in CVOTGD,Number in DED,Stems,_depth,_error,_page,_record_num,_url
naraku,to sound,"naraṭugrumbling;naral,neraḷuto groan, moan; caus.naralisu,naraḷisu",Dravidian etymology,,,,,,,,,,,,2904,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=2441&root=config
nare,grey; grey hair,"vb. (naret-,narat-) to become grey (hair);naratiwoman whose hair has become grey;neregreyness of the hair; vb. to become grey",Dravidian etymology,,,,,,,,,Irregular-e-in Kodagu.,,,3609,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=3027&root=config
naraṭu,"deficient, stunted",,Dravidian etymology,,,,,,,,,,,,3608,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=3026&root=config
"nara, naravu","nerve, vein",,Dravidian etymology,,,,,,,,,,,,2903,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=2440&root=config
nari,jackal,nakkejackal; wild (when prefixed to names of plants),Dravidian etymology,,,,,,,,,The forms of the typenakk-are probably borrowed from Telugu.,,,3606,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=3024&root=config
"araḷ, araḷa, aruḷu, arulu, arlu, aralu",to fear,"are,aremare,aremarikehesitation, doubt",Dravidian etymology,,,,,,,,,"The forms in Tulu hardly belong here; the correspondence ""most SDR languages 0- / Tulu n-"" is unparalleled, and even the semantics of the Tulu root are different.",,,3605,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=3023&root=config
"nasi, nasiku",to wear out; to fade away,"nasuminuteness, smallness, fineness, a little, a trifle",Dravidian etymology,,,,,,,,,,,,3575,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=2994&root=config
"name, nave","to be troubled, to degrade","navasigaman who harasses, troubles, or torments",Dravidian etymology,,,,,,,,,,,,3598,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=3016&root=config
navir(u),hair,,Dravidian etymology,,,,,,,,,,,,3615,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=3033&root=config
"avuḍu, avuṇḍu",lower lip,,Dravidian etymology,,,,,,,,,,,,3596,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=3014&root=config
najugu,"to crush, squash, subdue",najjua squashed state,Dravidian etymology,,,,,,,,,,,,3574,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=2993&root=config
nāḍu,"country, village","nāḍāḍicountryman, rustic, an ordinary common person;nāḍigavillage superintendent in the service of a smārta guru",Dravidian etymology,,,,,,,,,,,,3638,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=3055&root=config
nār_u,to smell,"nāsmell;nāta,nātu,nāntasmell in general, a bad smell;nar_u,nar_afragrance, odour, scent, smell",Dravidian etymology,,,,,,,,,,,,2918,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=2455&root=config
"nāy, nāyi",dog,nāyitanadoggishness,Dravidian etymology,,,,,,,,,,,,3650,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=3062&root=config
"nāl(u), nāl(u)ku, nāku, nā",four,"nālvarfour persons;nālvattu,nalvattuforty;nālnūr_u,nānūr_u,nannūr_u400",Dravidian etymology,,,,,,,,,,,,3655,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=3065&root=config
